Ax,Ay,Az,Gx,Gy,Gz,Label
-0.005,-0.018,1.031,0.420,-2.625,0.140,Idle
-0.005,-0.020,1.033,0.429,-2.599,0.123,Idle
-0.004,-0.019,1.032,0.411,-2.634,0.123,Idle
-0.004,-0.020,1.032,0.411,-2.660,0.123,Idle
-0.005,-0.020,1.033,0.385,-2.660,0.096,Idle
-0.006,-0.020,1.031,0.394,-2.634,0.114,Idle
-0.004,-0.019,1.031,0.385,-2.608,0.114,Idle
-0.004,-0.019,1.032,0.420,-2.555,0.131,Idle
-0.005,-0.019,1.032,0.411,-2.634,0.140,Idle
-0.005,-0.019,1.032,0.429,-2.634,0.131,Idle
-0.004,-0.019,1.031,0.429,-2.581,0.166,Idle
-0.006,-0.018,1.033,0.411,-2.608,0.123,Idle
-0.005,-0.019,1.031,0.411,-2.590,0.149,Idle
-0.006,-0.018,1.034,0.429,-2.625,0.140,Idle
-0.005,-0.019,1.034,0.403,-2.599,0.123,Idle
-0.006,-0.018,1.033,0.394,-2.599,0.087,Idle
-0.005,-0.019,1.031,0.429,-2.608,0.157,Idle
-0.004,-0.019,1.033,0.411,-2.590,0.140,Idle
-0.005,-0.019,1.033,0.438,-2.642,0.123,Idle
-0.005,-0.020,1.032,0.446,-2.608,0.157,Idle
-0.003,-0.019,1.034,0.438,-2.608,0.140,Idle
-0.006,-0.027,1.040,0.446,-2.642,0.157,Idle
-0.007,-0.022,1.039,0.394,-2.572,0.123,Idle
-0.006,-0.017,1.036,0.429,-2.642,0.157,Idle
-0.004,-0.018,1.035,0.403,-2.625,0.096,Idle
